Date,Open,High,Low,Close
4/7/2005,114100.98,114100.98,110301.13,110475.72
4/8/2005,110299.39,110673.41,108415.97,110214.3
4/11/2005,109729,109729,109329.3,109446.76
4/12/2005,110112.55,111376.35,106767.95,106765.34
4/13/2005,106354.48,111887.83,106354.48,111445.87
4/14/2005,112347.11,118029,111179.86,118026.12
4/15/2005,117562.1,124392.49,116911.69,123293.87
4/18/2005,124434.73,124772.77,123304.65,123295.63
4/19/2005,117453.33,121896.88,117453.33,118534.37
4/20/2005,119245.1,122403.91,118455.39,121620.51
4/21/2005,119550.46,119566.23,114692.74,115038.54
4/22/2005,115377.25,120316.25,115022.79,118486.97
4/25/2005,116565.54,117959.37,114219.11,114210.76
4/26/2005,115610.09,116742.14,114855.39,116496.9
4/27/2005,117203.77,119010.23,115613.31,116503.41
4/28/2005,116636.84,123347.78,116636.84,122365.17
4/29/2005,120321.24,124224.72,119909.31,121332.41
5/2/2005,119434.63,121081.47,117769.98,117761.37
5/3/2005,118568.81,118568.81,116365.98,116693.96
5/4/2005,116027.81,116027.81,105839.62,112115.88
5/5/2005,110944.95,114023.06,109123.94,110708.42
5/6/2005,109596.48,111218.44,109361.56,111215.72
5/9/2005,111309.69,111513.28,109645.01,109636.99
5/10/2005,111179.52,114303.73,111179.52,113738.07
5/11/2005,113503.28,118199.15,113327.18,114409.57
5/12/2005,114237.45,120693.03,113736.75,120690.09
5/13/2005,119970.34,126882.23,119637.86,123501.32
5/16/2005,123102.1,124260.63,121526.81,121517.92
5/17/2005,122402.66,126571.87,115888.51,117089.14
5/18/2005,114508.01,114508.01,111770.46,111933.3
5/19/2005,111092.08,112222.34,109915.77,109930.88
5/20/2005,110481.83,111614.95,108453.28,108450.63
5/23/2005,109506.27,109506.27,105651.71,106216.01
5/24/2005,106622.53,106622.53,105465.14,105658.44
5/25/2005,105946.17,107192.98,105946.17,106580.61
5/26/2005,105502.76,105722.72,102872.91,103152.74
5/27/2005,103152.74,104128.88,103152.74,103550.95
5/31/2005,104008,105327.27,103526.64,104509.36
6/1/2005,103707.12,103707.12,101318.61,102602.57
6/2/2005,102687.21,103207.07,101510.46,101830.7
6/3/2005,101525.48,102798.17,99344.78,101813.26
6/6/2005,102584.86,103066.7,99327.2,99960.4
6/7/2005,99689.73,100228.67,97794.29,98403.66
6/8/2005,98905.02,99713.39,97671.46,98910.74
6/9/2005,100164.2,100582.68,97831,98251.31
6/10/2005,98768.6,99391.23,98017.03,98388.32
6/13/2005,98517.76,99455.16,94420.89,95193.88
6/14/2005,95848.48,96081.71,93464.08,94107.19
6/15/2005,100158.98,100819.18,98303.09,98770.63
6/16/2005,100227.37,107334.35,98220.92,98218.52
6/17/2005,97478.55,99909.36,97478.55,99183.65
6/20/2005,101012.58,101012.58,98679.63,99254.04
6/21/2005,98226.6,98226.6,97651.17,97648.79
6/22/2005,98433.77,98970.84,97568.69,97827.43
6/23/2005,98067.35,98470.83,97447.58,97814.96
6/24/2005,98326.16,100477.57,97301.95,100475.12
6/27/2005,99321.07,100238.52,99089.29,99179.39
6/28/2005,98058.72,98058.72,96553.95,97265.03
6/29/2005,98283.04,98770.1,97481.5,98750.78
6/30/2005,98343.85,99878.55,98343.85,99117.27
7/1/2005,98430.63,99088.51,98430.63,99001.14
7/5/2005,99689.91,100422.04,97314.59,97305.1
7/6/2005,98045.56,98248.17,96696.01,98245.78
7/7/2005,101798.21,103197.54,98953.62,98951.2
